统计时间,省份,城市,现有确诊人数,累计确诊人数,累计死亡人数,累计治愈人数
05/07,河南,平顶山,1,60,1,58
05/07,河南,开封,6,39,0,33
05/06,吉林,长春,1104,25170,0,24066
05/06,北京,丰台,164,401,0,237
05/06,湖南,湘潭,2,41,0,39
05/06,北京,通州,68,80,9,3
05/06,北京,朝阳,356,377,0,21
05/06,上海,普陀,596,1737,0,1141
05/06,江苏,无锡,16,71,0,55
05/06,上海,长宁,803,2377,0,1574
05/06,上海,金山,6,332,0,326
05/06,上海,嘉定,73,2361,2,2286
05/06,北京,昌平,31,81,0,50
05/06,上海,黄浦,2163,6222,0,4059
05/06,黑龙江,哈尔滨,132,1340,4,1204
05/06,湖南,湘西自治州,2,12,0,10
05/06,上海,虹口,1167,3380,0,2213
05/06,上海,徐汇,1960,4515,1,2554
05/06,江西,上饶,121,328,0,207
05/06,北京,石景山,15,27,0,12
05/06,上海,浦东,2171,16820,1,14648
05/06,北京,东城,43,49,0,6
05/06,贵州,黔东南州,1,12,0,11
05/06,上海,闵行,1116,5259,0,4143
05/06,重庆,九龙坡区,1,23,1,21
05/06,上海,松江,168,2887,0,2719
05/06,上海,静安,1232,2907,1,1674
05/06,北京,大兴,46,157,0,111
05/06,河南,郑州,44,532,5,483
05/06,河南,许昌,30,435,1,404
05/06,上海,崇明,208,383,0,175
05/06,广东,广州,317,927,1,609
05/06,北京,门头沟,4,8,0,4
05/06,上海,宝山,888,2832,1,1943
05/06,河北,定州,5,7,0,2
05/06,北京,房山,139,151,0,12
05/06,上海,杨浦,964,1880,0,916
05/06,浙江,温州,16,520,1,503
05/06,江苏,南京,38,369,0,331
05/06,四川,成都,68,319,3,248
05/06,河南,周口,81,182,1,100
05/06,湖南,长沙,4,273,2,267
05/06,北京,海淀,109,135,0,26
05/06,浙江,湖州,27,37,0,10
05/06,上海,青浦,300,1287,0,987
05/06,山东,济南,46,134,0,88
05/06,浙江,舟山,18,28,0,10
05/06,北京,密云,2,9,0,7
05/06,江苏,淮安,5,83,0,78
05/06,河南,商丘,2,111,3,106
05/06,江苏,盐城,41,68,0,27
05/06,山东,泰安,2,45,2,41
05/06,黑龙江,牡丹江,8,100,0,92
05/06,新疆,乌鲁木齐,1,857,0,856
05/06,山西,运城,1,33,0,32
05/06,江西,南昌,23,455,0,432
05/06,山东,烟台,5,91,0,86
05/06,内蒙古,呼伦贝尔,42,658,0,616
05/06,山西,太原,18,109,0,91
05/06,福建,厦门,31,316,0,285
05/06,北京,顺义,33,78,0,45
05/06,上海,奉贤,86,230,0,144
05/06,北京,经济开发区,4,4,0,0
05/06,浙江,嘉兴,127,173,0,46
05/06,吉林,延边,4,170,0,166
05/06,河南,安阳,33,555,0,522
05/06,江苏,泰州,10,47,0,37
05/06,湖南,邵阳,51,154,1,102
05/06,山东,德州,6,118,2,110
05/06,四川,德阳,1,20,0,19
05/06,吉林,白城,4,145,0,141
05/06,浙江,杭州,201,529,0,328
05/06,浙江,绍兴,19,449,0,430
05/06,浙江,丽水,5,22,0,17
05/06,江苏,徐州,74,153,0,79
05/06,河南,濮阳,9,26,0,17
05/06,云南,文山州,8,13,0,5
05/06,浙江,衢州,94,116,0,22
05/06,河南,信阳,10,287,2,275
05/06,浙江,金华,85,142,0,57
05/06,浙江,宁波,61,330,0,269
05/06,河南,洛阳,4,45,1,40
05/06,江西,赣州,1,76,1,74
05/06,青海,西宁,43,87,0,44
05/06,河北,保定,18,56,0,38
05/06,江苏,宿迁,13,29,0,16
05/06,江苏,苏州,23,228,0,205
05/06,河北,唐山,19,95,1,75
05/06,北京,西城,64,70,0,6
05/06,福建,宁德,50,76,0,26
05/06,云南,红河,29,38,0,9
05/06,河北,秦皇岛,12,22,1,9
05/06,湖北,武汉,2,50423,3869,46552
05/06,辽宁,沈阳,90,241,0,151
05/06,安徽,宣城,2,9,0,7
05/06,云南,西双版纳州,6,21,1,14
05/06,云南,昆明,6,68,0,62
05/06,山东,青岛,1,992,1,990
05/06,四川,广安,2,33,0,31
05/06,河南,漯河,8,44,0,36
05/06,河北,衡水,1,14,0,13
05/06,广东,深圳,603,1384,3,778
05/06,贵州,贵阳,1,39,1,37
05/06,广东,韶关,2,12,1,9
05/06,广东,汕头,1,26,0,25
05/06,吉林,四平,7,244,1,236
05/06,海南,三亚,71,129,1,57
05/06,福建,泉州,8,1187,0,1179
05/06,河北,邯郸,23,64,0,41
05/06,天津,西青区,188,206,0,18
05/06,辽宁,阜新,2,10,0,8
05/06,江苏,连云港,2,195,0,193
05/06,广东,中山,11,82,0,71
05/06,广东,湛江,3,26,0,23
05/06,广东,佛山,4,105,0,101
05/06,江苏,镇江,12,24,0,12
05/06,四川,遂宁,1,22,0,21
05/06,四川,乐山,4,12,0,8
05/06,广东,茂名,7,21,0,14
05/06,辽宁,鞍山,5,19,0,14
05/06,广东,肇庆,8,27,1,18
05/06,天津,河北区,39,95,0,56
05/06,海南,海口,10,51,0,41
05/06,海南,儋州,2,17,1,14
05/06,广东,珠海,30,146,1,115
05/06,海南,琼海,5,11,1,5
05/06,天津,南开区,30,37,0,7
05/06,湖南,衡阳,5,53,0,48
05/06,山东,日照,4,37,0,33
05/06,天津,河东区,15,34,1,18
05/06,浙江,台州,2,149,0,147
05/06,辽宁,大连,17,620,0,603
05/06,福建,漳州,17,40,0,23
05/06,河北,廊坊,139,314,0,175
05/06,辽宁,营口,83,208,0,125
05/06,天津,静海区,11,11,0,0
05/06,天津,东丽区,27,32,0,5
05/06,福建,莆田,47,322,0,275
05/06,海南,万宁,1,14,0,13
05/06,辽宁,葫芦岛,19,227,1,207
05/06,江苏,常州,30,84,0,54
05/06,山东,滨州,1,217,0,216
05/06,天津,河西区,18,28,0,10
05/06,辽宁,铁岭,2,14,0,12
05/06,广东,汕尾,2,8,0,6
05/06,天津,北辰区,16,23,0,7
05/06,辽宁,锦州,1,15,0,14
05/06,天津,红桥区,29,36,0,7
05/06,天津,滨海新区,64,86,0,22
05/06,云南,临沧,12,13,0,1
05/06,天津,宁河区,2,6,0,4
05/06,河北,石家庄,1,977,1,975
05/06,福建,福州,2,74,1,71
05/06,河北,沧州,77,138,3,58
05/06,天津,武清区,149,151,0,2
05/06,山东,临沂,4,66,0,62
05/06,湖南,永州,1,45,0,44
05/06,天津,津南区,20,364,0,344
05/06,天津,宝坻区,6,66,2,58
05/06,福建,三明,1,15,0,14
05/06,云南,保山市,2,11,0,9
05/06,广东,阳江,1,15,0,14
05/06,广东,惠州,8,70,0,62
05/06,广东,河源,2,7,0,5
05/06,江苏,南通,1,41,0,40
05/06,广东,云浮,7,7,0,0
05/06,广东,梅州,1,18,0,17
